Date,Open,High,Low,Close,Adj Close,Volume
1994-03-11,20.625,20.875,20.625,20.875,7.059013366699219,2359000
1994-03-14,20.75,20.75,20.625,20.625,6.974477291107178,536500
1994-03-15,20.625,20.75,20.625,20.625,6.974477291107178,215700
1994-03-16,20.625,21.375,20.625,21.375,7.228092670440674,338600
1994-03-17,21.375,21.375,20.875,21.125,7.143552780151367,195900
1994-03-18,21.125,21.125,20.75,21.0,7.101288318634033,285700
1994-03-21,21.0,21.0,20.875,20.875,7.059013366699219,38900
1994-03-22,20.875,20.875,20.75,20.75,7.016745090484619,78400
1994-03-23,20.75,21.5,20.75,21.25,7.185825347900391,209200
1994-03-24,21.125,21.125,21.0,21.0,7.101288318634033,155000
1994-03-25,21.0,21.125,21.0,21.0,7.101288318634033,91500
1994-03-28,21.0,21.125,20.875,21.125,7.143552780151367,111200
1994-03-29,21.125,21.125,20.625,20.625,6.974477291107178,101200
1994-03-30,20.625,20.75,20.375,20.5,6.932205677032471,105000
1994-03-31,20.5,20.625,20.5,20.625,6.974477291107178,108300
1994-04-04,20.375,20.375,20.0,20.125,6.805397033691406,42300
1994-04-05,20.25,20.875,20.25,20.75,7.016745090484619,55600
1994-04-06,20.75,20.875,20.75,20.875,7.059013366699219,31800
1994-04-07,20.875,21.0,20.75,20.75,7.016745090484619,52000
1994-04-08,20.75,20.75,20.5,20.5,6.932205677032471,24000
1994-04-11,20.5,20.625,20.375,20.375,6.8899335861206055,44400
1994-04-12,20.375,20.5,20.25,20.5,6.932205677032471,15100
1994-04-13,20.5,20.5,20.375,20.375,6.8899335861206055,30500
1994-04-14,20.375,20.5,20.375,20.375,6.8899335861206055,38800
1994-04-15,20.375,20.5,20.125,20.125,6.805397033691406,12200
1994-04-18,20.125,20.375,20.125,20.125,6.805397033691406,39800
1994-04-19,20.25,20.375,20.25,20.25,6.8476715087890625,24500
1994-04-20,20.25,20.25,20.125,20.25,6.8476715087890625,72000
1994-04-21,20.25,20.375,20.25,20.25,6.8476715087890625,15000
1994-04-22,20.25,20.5,20.125,20.5,6.932205677032471,20700
1994-04-25,20.5,20.5,20.25,20.25,6.8476715087890625,27300
1994-04-26,20.375,20.5,20.375,20.5,6.932205677032471,64000
1994-04-28,20.5,20.75,20.5,20.625,6.974477291107178,27100
1994-04-29,20.625,20.625,20.5,20.5,6.932205677032471,5500
1994-05-02,20.5,20.625,20.5,20.625,6.974477291107178,11700
1994-05-03,20.625,20.625,20.375,20.5,6.932205677032471,29000
1994-05-04,20.5,20.5,20.25,20.25,6.8476715087890625,39600
1994-05-05,20.25,20.375,20.125,20.375,6.8899335861206055,7600
1994-05-06,20.375,20.375,20.0,20.125,6.805397033691406,13600
1994-05-09,20.125,20.25,20.125,20.25,6.8476715087890625,3700
1994-05-10,20.25,20.25,20.125,20.25,6.8476715087890625,75100
1994-05-11,20.25,20.375,20.125,20.25,6.8476715087890625,81400
1994-05-12,20.25,20.375,20.25,20.25,6.8476715087890625,7100
1994-05-13,20.25,20.375,20.25,20.25,6.8476715087890625,14500
