Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,25.625,25.875,25.5,25.875,9.916465759277344,367400
1990-01-03,25.75,26.125,25.375,25.5,9.772748947143555,319500
1990-01-04,25.25,25.5,24.125,24.875,9.533218383789062,383900
1990-01-05,24.875,24.875,24.5,24.75,9.48531723022461,161800
1990-01-08,24.625,25.125,24.5,25.0,9.581125259399414,160500
1990-01-09,24.875,25.375,24.75,24.875,9.533218383789062,383500
1990-01-10,24.875,25.375,24.875,25.25,9.676939010620117,336900
1990-01-11,25.5,26.0,25.375,25.75,9.868561744689941,371000
1990-01-12,25.125,25.25,24.875,25.0,9.581125259399414,323900
1990-01-15,25.0,25.0,24.375,24.5,9.389498710632324,413700
1990-01-16,23.875,24.875,23.25,24.875,9.533218383789062,502900
1990-01-17,24.625,24.625,23.75,24.125,9.24578857421875,364400
1990-01-18,23.625,24.25,23.375,24.25,9.29369068145752,465300
1990-01-19,24.5,25.125,24.375,25.125,9.629032135009766,454100
1990-01-22,25.0,25.0,24.0,24.375,9.341598510742188,242900
1990-01-23,24.5,24.5,23.5,23.5,9.006256103515625,505600
1990-01-24,22.875,23.875,22.5,23.875,9.14997673034668,807800
1990-01-25,24.375,24.375,22.75,22.875,8.76672649383545,522800
1990-01-26,22.625,22.875,21.75,22.875,8.76672649383545,580600
1990-01-29,23.0,23.125,22.5,23.125,8.907315254211426,216100
1990-01-30,23.25,23.25,22.5,23.0,8.859175682067871,268500
1990-01-31,23.0,23.875,23.0,23.625,9.099908828735352,513500
1990-02-01,23.875,24.125,23.625,24.125,9.292502403259277,369500
1990-02-02,24.125,24.875,24.0,24.75,9.533239364624023,279200
1990-02-05,24.75,25.875,24.75,25.875,9.966570854187012,512300
1990-02-06,25.875,25.875,25.25,25.5,9.822128295898438,230600
1990-02-07,25.625,26.75,25.125,26.625,10.255456924438477,869000
1990-02-08,26.625,27.125,26.5,26.875,10.351752281188965,977800
1990-02-09,26.75,26.875,26.625,26.875,10.351752281188965,461600
1990-02-12,26.75,27.25,26.375,26.75,10.303601264953613,501100
1990-02-13,26.5,26.875,26.25,26.875,10.351752281188965,368200
1990-02-14,26.875,26.875,25.875,26.375,10.159157752990723,666600
1990-02-15,26.375,26.625,26.25,26.625,10.255456924438477,1802100
1990-02-16,26.5,26.875,26.5,26.875,10.351752281188965,1292100
1990-02-20,26.625,27.625,26.125,27.5,10.592488288879395,891900
1990-02-21,26.75,27.5,26.625,27.5,10.592488288879395,1162400
1990-02-22,27.625,28.0,25.875,26.0,10.01472282409668,1301400
1990-02-23,25.125,25.75,25.0,25.375,9.77397632598877,1121500
1990-02-26,25.375,26.0,25.25,25.625,9.870274543762207,598400
1990-02-27,25.25,26.125,25.25,25.375,9.77397632598877,666400
1990-02-28,25.625,26.25,25.5,25.625,9.870274543762207,829600
1990-03-01,25.625,26.375,25.5,26.0,10.01472282409668,504400
1990-03-02,26.0,26.125,25.875,26.0,10.01472282409668,232900
1990-03-05,26.125,26.5,26.0,26.375,10.159157752990723,548800
1990-03-06,26.5,26.875,26.375,26.875,10.351752281188965,656300
1990-03-07,27.125,27.625,27.0,27.125,10.448046684265137,846500
1990-03-08,27.0,27.125,26.5,26.75,10.303601264953613,517700
1990-03-09,26.75,26.875,26.625,26.625,10.255456924438477,396500
1990-03-12,26.375,26.75,26.125,26.625,10.255456924438477,333200
1990-03-13,26.5,26.625,26.25,26.375,10.159157752990723,217400
1990-03-14,26.375,26.75,26.375,26.625,10.255456924438477,248000
1990-03-15,26.625,27.25,26.5,27.125,10.448046684265137,484200
1990-03-16,27.25,28.125,27.125,28.0,10.785085678100586,893600
1990-03-19,27.5,28.125,27.375,28.125,10.833230018615723,330100
