Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,7.234375,7.359375,7.21875,7.359375,3.220104932785034,2910400
1990-01-03,7.421875,7.515625,7.421875,7.4375,3.254288911819458,5712000
1990-01-04,7.4375,7.484375,7.421875,7.46875,3.267960548400879,2397600
1990-01-05,7.46875,7.46875,7.390625,7.421875,3.247447967529297,2043200
1990-01-08,7.421875,7.421875,7.328125,7.375,3.2269420623779297,1340800
1990-01-09,7.375,7.421875,7.3125,7.328125,3.2064297199249268,2283200
1990-01-10,7.328125,7.375,7.296875,7.34375,3.213265895843506,2684800
1990-01-11,7.34375,7.375,7.328125,7.34375,3.213265895843506,2259200
1990-01-12,7.328125,7.328125,7.203125,7.21875,3.158572196960449,1362400
1990-01-15,7.203125,7.203125,7.15625,7.1875,3.144899606704712,1007200
1990-01-16,7.15625,7.15625,7.078125,7.125,3.1339046955108643,2668000
1990-01-17,7.046875,7.046875,6.8125,6.859375,3.0170676708221436,7724000
1990-01-18,6.859375,7.03125,6.6875,6.921875,3.04455828666687,6443200
1990-01-19,6.921875,6.921875,6.84375,6.890625,3.0308148860931396,4531200
1990-01-22,6.890625,6.90625,6.765625,6.8125,2.996450901031494,1825600
1990-01-23,6.8125,6.9375,6.796875,6.90625,3.0376861095428467,2964800
1990-01-24,6.90625,7.03125,6.78125,6.96875,3.065176248550415,3203200
1990-01-25,6.96875,7.0,6.890625,6.890625,3.0308148860931396,1330400
1990-01-26,6.890625,6.921875,6.8125,6.859375,3.0170676708221436,1689600
1990-01-29,6.859375,6.890625,6.765625,6.828125,3.003324508666992,1153600
1990-01-30,6.828125,6.84375,6.734375,6.8125,2.996450901031494,1355200
1990-01-31,6.828125,6.9375,6.828125,6.921875,3.04455828666687,3260000
1990-02-01,6.9375,7.0,6.9375,6.9375,3.051431894302368,2389600
1990-02-02,6.9375,7.03125,6.875,6.953125,3.058305263519287,1966400
1990-02-05,6.953125,6.953125,6.875,6.90625,3.0376861095428467,1725600
1990-02-06,6.890625,6.890625,6.828125,6.875,3.0239412784576416,1142400
1990-02-07,6.875,6.984375,6.78125,6.90625,3.0376861095428467,1573600
1990-02-08,6.90625,7.078125,6.90625,7.015625,3.0857951641082764,3035200
1990-02-09,7.015625,7.015625,6.921875,6.96875,3.065176248550415,940800
1990-02-12,6.9375,6.9375,6.875,6.921875,3.04455828666687,1288000
1990-02-13,6.921875,6.921875,6.828125,6.921875,3.04455828666687,1884800
1990-02-14,6.921875,6.96875,6.890625,6.9375,3.051431894302368,1682400
1990-02-15,6.9375,7.03125,6.921875,6.984375,3.072049856185913,1418400
1990-02-16,6.984375,7.078125,6.984375,7.03125,3.0926668643951416,2558400
1990-02-20,7.0,7.0,6.953125,7.0,3.0789215564727783,1002400
1990-02-21,7.0,7.109375,6.875,7.09375,3.12015700340271,1913600
1990-02-22,7.109375,7.28125,7.109375,7.1875,3.1613926887512207,3349600
1990-02-23,7.1875,7.25,7.140625,7.21875,3.175138473510742,1857600
1990-02-26,7.265625,7.421875,7.265625,7.390625,3.2507362365722656,4646400
1990-02-27,7.390625,7.5625,7.359375,7.515625,3.305718183517456,6055200
1990-02-28,7.515625,7.578125,7.5,7.578125,3.33320689201355,3759200
1990-03-01,7.5625,7.5625,7.484375,7.546875,3.319462299346924,2911200
1990-03-02,7.546875,7.765625,7.546875,7.765625,3.4156785011291504,7916800
1990-03-05,7.765625,7.796875,7.71875,7.796875,3.4294235706329346,2763200
1990-03-06,7.796875,7.84375,7.71875,7.84375,3.450042247772217,3267200
1990-03-07,7.84375,7.859375,7.78125,7.796875,3.4294235706329346,2452000
1990-03-08,7.796875,7.8125,7.65625,7.796875,3.4294235706329346,3474400
1990-03-09,7.765625,7.765625,7.640625,7.75,3.4088072776794434,3742400
1990-03-12,7.6875,7.6875,7.625,7.65625,3.3675713539123535,2052800
1990-03-13,7.59375,7.59375,7.40625,7.53125,3.3125901222229004,8483200
1990-03-14,7.53125,7.53125,7.453125,7.53125,3.3125901222229004,4519200
1990-03-15,7.53125,7.59375,7.515625,7.578125,3.33320689201355,3153600
