Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.495095729827881,7436400
1997-10-17,5.65625,5.75,5.40625,5.59375,3.437486410140991,3390400
1997-10-20,5.5,5.625,5.46875,5.53125,3.3990774154663086,3068000
1997-10-21,5.5625,5.6875,5.5,5.59375,3.437486410140991,2382400
1997-10-22,5.6875,5.75,5.59375,5.71875,3.51430082321167,1525200
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.437486410140991,1622400
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.51430082321167,813600
1997-10-27,5.65625,5.75,5.375,5.421875,3.3318636417388916,1507200
1997-10-28,5.25,5.6875,4.9375,5.59375,3.437486410140991,2955600
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.4758942127227783,1859200
1997-10-30,5.53125,5.5625,5.375,5.5,3.379873037338257,856000
1997-10-31,5.4375,5.640625,5.4375,5.5,3.379873037338257,561600
1997-11-03,5.625,5.84375,5.53125,5.734375,3.5239040851593018,1004000
1997-11-04,5.75,5.875,5.6875,5.78125,3.5527091026306152,364000
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.6295242309570312,324400
1997-11-06,5.875,6.25,5.875,6.25,3.840763807296753,361600
1997-11-07,6.1875,6.625,6.03125,6.4375,3.955988645553589,662400
1997-11-10,6.3125,6.5,6.15625,6.15625,3.783155679702759,266800
1997-11-11,5.9375,6.0,5.75,6.0,3.687135696411133,618000
1997-11-12,6.0,6.0,5.5625,5.6875,3.495095729827881,314800
1997-11-13,5.5625,5.625,5.46875,5.5,3.379873037338257,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,3.3414647579193115,438000
1997-11-17,5.5,5.84375,5.5,5.8125,3.5719125270843506,284000
1997-11-18,5.875,5.875,5.6875,5.71875,3.51430082321167,1429600
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.418281078338623,148400
1997-11-20,5.625,5.625,5.3125,5.5625,3.418281078338623,1268000
1997-11-21,5.5625,5.625,5.5,5.53125,3.3990774154663086,640800
1997-11-24,5.5,5.59375,5.5,5.53125,3.3990774154663086,64400
1997-11-25,5.5625,5.625,5.5,5.515625,3.3894762992858887,326800
1997-11-26,5.5,5.53125,5.234375,5.253905773162842,3.228644847869873,463200
