Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,37.75,37.875,37.5,37.625,13.001592636108398,81100
1990-01-03,38.0,38.5,38.0,38.5,13.303949356079102,261400
1990-01-04,38.5,38.5,37.75,38.0,13.13117504119873,80900
1990-01-05,37.75,37.875,37.25,37.5,12.958394050598145,65400
1990-01-08,37.75,37.875,37.25,37.75,13.044790267944336,79800
1990-01-09,37.5,37.5,36.375,36.375,12.569647789001465,205500
1990-01-10,36.5,37.0,36.375,37.0,12.785614013671875,109900
1990-01-11,37.0,37.0,36.75,36.75,12.699228286743164,101800
1990-01-12,36.5,36.5,36.0,36.25,12.526453018188477,115800
1990-01-15,36.125,36.125,35.375,35.375,12.224088668823242,86900
1990-01-16,35.125,36.0,34.875,35.875,12.396866798400879,173100
1990-01-17,36.125,36.125,35.75,35.875,12.396866798400879,144500
1990-01-18,36.0,36.0,35.5,35.875,12.396866798400879,49400
1990-01-19,36.0,36.625,36.0,36.375,12.569647789001465,234300
1990-01-22,36.25,36.5,35.25,35.25,12.180896759033203,112700
1990-01-23,35.625,36.0,34.625,34.875,12.051312446594238,234200
1990-01-24,34.0,34.375,33.625,34.25,11.835338592529297,167700
1990-01-25,34.5,34.5,33.0,33.0,11.40339183807373,498100
1990-01-26,33.0,33.625,32.75,33.5,11.576169967651367,567900
1990-01-29,33.875,33.875,33.125,33.375,11.532978057861328,136100
1990-01-30,33.5,33.75,32.5,32.625,11.307686805725098,488200
1990-01-31,33.125,33.75,33.125,33.75,11.697603225708008,380800
1990-02-01,34.0,34.375,33.875,34.375,11.91423225402832,166300
1990-02-02,34.25,34.625,34.125,34.5,11.95755386352539,66600
1990-02-05,34.25,34.625,34.25,34.625,12.000883102416992,58000
1990-02-06,34.375,34.5,34.0,34.25,11.8709077835083,103100
1990-02-07,34.0,34.625,33.875,34.625,12.000883102416992,56000
1990-02-08,34.625,35.125,34.5,34.875,12.087532043457031,262100
1990-02-09,35.0,35.0,34.75,34.875,12.087532043457031,89600
1990-02-12,34.75,35.0,34.75,35.0,12.130854606628418,111900
1990-02-13,34.75,34.875,34.625,34.75,12.044208526611328,381400
1990-02-14,34.75,34.75,34.0,34.375,11.91423225402832,76000
1990-02-15,34.625,34.75,34.5,34.75,12.044208526611328,42700
1990-02-16,34.625,34.75,34.25,34.375,11.91423225402832,64800
1990-02-20,34.25,34.5,34.125,34.375,11.91423225402832,145200
1990-02-21,34.125,34.375,34.0,34.0,11.784256935119629,103700
1990-02-22,34.0,34.25,33.5,33.75,11.697603225708008,110500
1990-02-23,33.75,33.75,32.25,32.625,11.307686805725098,108400
1990-02-26,32.375,32.75,31.375,32.625,11.307686805725098,498900
1990-02-27,33.0,33.0,32.625,32.625,11.307686805725098,151800
1990-02-28,32.625,33.125,32.5,33.125,11.480981826782227,250100
1990-03-01,33.125,33.875,33.125,33.625,11.654282569885254,90500
1990-03-02,33.5,34.0,33.5,33.875,11.740930557250977,86900
1990-03-05,34.125,34.125,33.75,33.75,11.697603225708008,68300
1990-03-06,33.75,34.25,33.75,34.125,11.827576637268066,91900
1990-03-07,34.25,34.75,34.25,34.625,12.000883102416992,192600
1990-03-08,34.625,35.0,34.625,35.0,12.130854606628418,142300
1990-03-09,35.0,35.0,34.75,35.0,12.130854606628418,93400
1990-03-12,34.75,34.75,34.5,34.625,12.000883102416992,69000
1990-03-13,34.75,35.0,34.75,34.75,12.044208526611328,229300
1990-03-14,34.625,34.75,33.75,34.125,11.827576637268066,50200
1990-03-15,34.125,34.25,32.75,33.75,11.697603225708008,221800
1990-03-16,33.875,34.0,33.25,33.375,11.567636489868164,240800
1990-03-19,33.0,33.25,32.75,33.125,11.480981826782227,92700
1990-03-20,32.875,32.875,32.125,32.5,11.264365196228027,238500
