Date,Open,High,Low,Close,Adj Close,Volume
1995-10-03,18.75,19.875,18.5,19.625,12.673487663269043,10364800
1995-10-04,19.5,19.625,18.75,18.75,12.108419418334961,1810800
1995-10-05,19.125,19.5,19.0,19.375,12.512030601501465,1216500
1995-10-06,19.625,19.875,19.375,19.875,12.83492374420166,1538100
1995-10-09,19.875,19.875,19.375,19.375,12.512030601501465,869200
1995-10-10,19.375,19.5,19.0,19.25,12.43130874633789,840800
1995-10-11,19.375,19.5,19.25,19.375,12.512030601501465,630400
1995-10-12,19.375,19.5,19.125,19.375,12.512030601501465,519700
1995-10-13,19.5,20.0,19.5,20.0,12.91564655303955,557300
1995-10-16,20.125,20.125,19.625,19.75,12.75421142578125,188700
1995-10-17,19.75,19.875,19.625,19.75,12.75421142578125,244600
1995-10-18,19.625,19.75,19.5,19.625,12.673487663269043,152500
1995-10-19,19.5,19.625,19.5,19.625,12.673487663269043,180400
1995-10-20,19.625,19.75,19.375,19.5,12.592754364013672,298900
1995-10-23,19.25,19.375,19.125,19.25,12.43130874633789,731100
1995-10-24,19.375,19.375,19.0,19.0,12.269857406616211,670500
1995-10-25,19.125,19.25,19.0,19.0,12.269857406616211,749900
1995-10-26,19.125,19.125,19.0,19.0,12.269857406616211,810900
1995-10-27,19.0,19.25,19.0,19.25,12.43130874633789,460500
1995-10-30,19.375,19.375,19.25,19.25,12.43130874633789,76200
1995-10-31,20.75,20.75,19.875,20.375,13.157816886901855,2034100
1995-11-01,20.25,20.5,20.0,20.375,13.157816886901855,398600
1995-11-02,20.375,20.5,20.375,20.5,13.238539695739746,221200
1995-11-03,20.5,20.875,20.375,20.75,13.399982452392578,306800
1995-11-06,20.625,21.25,20.625,20.625,13.319265365600586,137200
1995-11-07,20.625,20.625,20.375,20.625,13.319265365600586,566300
1995-11-08,20.5,20.875,20.5,20.75,13.399982452392578,264700
1995-11-09,20.625,20.75,20.625,20.75,13.399982452392578,70700
1995-11-10,20.625,20.625,20.375,20.375,13.157816886901855,190500
1995-11-13,20.375,20.625,20.375,20.5,13.238539695739746,135900
1995-11-14,20.625,20.75,20.5,20.625,13.319265365600586,206900
1995-11-15,20.5,20.625,20.25,20.5,13.238539695739746,615500
1995-11-16,20.75,21.0,20.375,20.375,13.177096366882324,381400
1995-11-17,20.5,20.875,20.375,20.625,13.338781356811523,178000
1995-11-20,20.75,21.375,20.5,20.5,13.257946968078613,377000
1995-11-21,20.625,20.75,20.5,20.75,13.41961669921875,391400
1995-11-22,20.5,20.875,20.5,20.875,13.50046443939209,92600
1995-11-24,20.875,20.875,20.75,20.875,13.50046443939209,7900
1995-11-27,20.75,21.125,20.625,20.75,13.41961669921875,455000
1995-11-28,21.0,21.0,20.75,20.75,13.41961669921875,130200
1995-11-29,20.75,20.875,20.75,20.75,13.41961669921875,59500
1995-11-30,20.625,21.0,20.625,20.875,13.50046443939209,180100
1995-12-01,21.0,21.25,20.875,21.25,13.742988586425781,94400
1995-12-04,21.25,21.25,21.0,21.0,13.581311225891113,228600
1995-12-05,21.0,21.125,20.875,21.125,13.662145614624023,251400
1995-12-06,21.25,21.25,21.0,21.0,13.581311225891113,109900
1995-12-07,21.25,21.625,21.25,21.375,13.823826789855957,171800
1995-12-08,21.125,21.375,21.0,21.25,13.742988586425781,224000
1995-12-11,21.25,21.75,21.25,21.5,13.904666900634766,123800
1995-12-12,21.5,21.625,21.25,21.5,13.904666900634766,192100
1995-12-13,21.5,21.875,21.375,21.625,13.985514640808105,81800
1995-12-14,21.875,22.375,21.875,21.875,14.147191047668457,251200
1995-12-15,22.0,22.5,22.0,22.25,14.389718055725098,220800
1995-12-18,22.125,22.125,21.875,22.125,14.308871269226074,320900
1995-12-19,22.0,23.0,21.875,23.0,14.874763488769531,361400
1995-12-20,23.25,23.375,22.375,22.375,14.470559120178223,168300
1995-12-21,22.375,23.0,22.375,22.875,14.79392147064209,90300
1995-12-22,23.0,23.0,22.625,22.875,14.79392147064209,104500
1995-12-26,22.625,23.0,22.625,23.0,14.874763488769531,109100
1995-12-27,23.0,23.0,22.75,22.875,14.79392147064209,108400
1995-12-28,23.0,23.0,22.625,22.625,14.63223934173584,74100
1995-12-29,22.625,23.5,22.625,23.375,15.117279052734375,230800
1996-01-02,23.25,23.25,22.25,22.875,14.79392147064209,237100
1996-01-03,22.75,22.875,22.5,22.75,14.713089942932129,249500
1996-01-04,22.5,22.5,22.0,22.25,14.389718055725098,276800
1996-01-05,22.25,22.5,22.25,22.5,14.55139446258545,171100
1996-01-08,22.5,22.5,22.25,22.375,14.470559120178223,62200
1996-01-09,22.5,22.5,22.0,22.375,14.470559120178223,65300
1996-01-10,22.25,22.625,22.125,22.375,14.470559120178223,535400
1996-01-11,22.375,22.375,22.0,22.25,14.389718055725098,83400
1996-01-12,22.25,22.5,22.25,22.375,14.470559120178223,60200
1996-01-15,22.5,22.625,22.25,22.25,14.389718055725098,76800
1996-01-16,22.375,22.625,22.125,22.25,14.389718055725098,81000
1996-01-17,22.5,22.625,22.25,22.375,14.470559120178223,50800
1996-01-18,22.125,22.375,22.0,22.0,14.22802734375,972000
1996-01-19,21.875,22.0,21.375,22.0,14.22802734375,102800
1996-01-22,21.75,21.75,20.375,20.75,13.41961669921875,449000
1996-01-23,21.0,22.25,21.0,21.875,14.147191047668457,798600
1996-01-24,21.875,22.625,21.875,22.5,14.55139446258545,269500
1996-01-25,22.75,22.75,22.0,22.0,14.22802734375,181200
1996-01-26,22.0,22.0,21.875,21.875,14.147191047668457,136500
1996-01-29,21.875,22.625,21.875,22.5,14.55139446258545,102200
1996-01-30,22.5,22.625,22.125,22.375,14.470559120178223,315200
1996-01-31,22.125,22.25,21.625,21.75,14.066357612609863,607200
