Date,Open,High,Low,Close,Adj Close,Volume
1993-08-12,14.5,14.5,13.6875,14.3125,2.8324081897735596,13086600
1993-08-13,14.25,14.25,13.875,13.875,2.7458267211914062,1277800
1993-08-16,13.875,14.0,13.8125,14.0,2.770564079284668,559000
1993-08-17,14.0,14.125,13.9375,14.0625,2.782931327819824,545600
1993-08-18,14.0625,14.0625,14.0625,14.0625,2.782931327819824,469200
1993-08-19,14.0625,14.0625,13.8125,13.8125,2.733457088470459,409400
1993-08-20,13.875,14.0625,13.875,13.9375,2.758194923400879,540800
1993-08-23,13.9375,14.0625,13.875,14.0,2.770564079284668,335600
1993-08-24,14.0,14.1875,14.0,14.1875,2.8076696395874023,234400
1993-08-25,14.0625,14.0625,14.0,14.0,2.770564079284668,102600
1993-08-26,14.0,14.3125,14.0,14.3125,2.8324081897735596,180400
1993-08-27,14.3125,14.3125,14.0625,14.125,2.795301675796509,119600
1993-08-30,14.0625,14.25,14.0625,14.125,2.795301675796509,71400
1993-08-31,14.125,14.4375,14.125,14.375,2.8447751998901367,147000
1993-09-01,14.4375,14.5,14.3125,14.3125,2.8324081897735596,141600
1993-09-02,14.5,14.5,14.375,14.5,2.8695125579833984,217600
1993-09-03,14.4375,14.8125,14.4375,14.625,2.894249439239502,178800
1993-09-07,14.5625,14.8125,14.5625,14.6875,2.906618118286133,167600
1993-09-08,14.8125,14.875,14.5,14.5,2.8695125579833984,276200
1993-09-09,14.5,14.875,14.5,14.625,2.894249439239502,74400
1993-09-10,14.5625,15.25,14.5625,15.125,2.9931976795196533,245000
1993-09-13,14.9375,15.0,14.875,15.0,2.9684605598449707,251200
1993-09-14,14.75,14.8125,14.5625,14.75,2.9189865589141846,127000
1993-09-15,14.75,14.75,14.5625,14.75,2.9189865589141846,162400
1993-09-16,14.875,14.875,14.6875,14.875,2.9437246322631836,88800
1993-09-17,14.8125,15.0625,14.75,15.0625,2.9808318614959717,113000
1993-09-20,14.8125,14.9375,14.75,14.75,2.9394774436950684,15400
1993-09-21,14.875,14.875,14.6875,14.8125,2.9519333839416504,286000
