Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,23.125,23.625,23.0,23.625,5.126055717468262,496000
1990-01-03,23.625,23.625,23.0,23.0,4.990447521209717,331000
1990-01-04,23.25,23.25,22.875,23.0,4.990447521209717,520300
1990-01-05,22.875,23.0,22.5,22.625,4.909080505371094,722800
1990-01-08,22.5,22.5,22.375,22.5,4.881957054138184,118300
1990-01-09,22.5,22.5,22.125,22.125,4.800595283508301,508200
1990-01-10,22.125,22.375,22.125,22.25,4.827715873718262,145800
1990-01-11,22.375,22.5,22.375,22.375,4.854836463928223,159600
1990-01-12,22.25,22.375,22.0,22.125,4.800595283508301,263500
1990-01-15,22.0,22.125,21.875,22.0,4.773471832275391,325500
1990-01-16,21.875,22.25,21.875,22.25,4.827715873718262,221100
1990-01-17,22.25,22.375,22.0,22.125,4.800595283508301,106800
1990-01-18,22.0,22.375,22.0,22.375,4.854836463928223,220800
1990-01-19,22.25,22.5,22.25,22.375,4.854836463928223,434500
1990-01-22,22.375,22.875,22.0,22.0,4.773471832275391,368000
1990-01-23,22.0,22.0,21.75,21.875,4.746348857879639,476500
1990-01-24,21.5,21.625,21.25,21.5,4.664982795715332,242000
1990-01-25,21.625,21.625,21.375,21.375,4.637863636016846,525600
1990-01-26,21.375,21.875,21.375,21.625,4.692105770111084,339700
1990-01-29,21.75,21.75,21.25,21.25,4.610738277435303,498500
1990-01-30,21.25,21.375,21.125,21.25,4.610738277435303,173900
1990-01-31,21.25,21.75,21.25,21.625,4.692105770111084,674000
1990-02-01,21.625,21.875,21.625,21.875,4.746348857879639,390300
1990-02-02,21.75,21.875,21.75,21.75,4.7192277908325195,753400
1990-02-05,21.5,21.5,21.125,21.25,4.664350986480713,662000
1990-02-06,21.25,21.375,21.125,21.125,4.636915683746338,689100
1990-02-07,21.125,21.25,20.75,21.125,4.636915683746338,311400
1990-02-08,21.0,21.125,20.875,21.0,4.609476566314697,483200
1990-02-09,21.0,21.0,20.625,21.0,4.609476566314697,479600
1990-02-12,20.875,21.0,20.75,20.75,4.554601192474365,194500
1990-02-13,20.75,20.875,20.5,20.875,4.5820393562316895,435600
1990-02-14,20.875,21.0,20.625,20.875,4.5820393562316895,806100
1990-02-15,20.875,21.0,20.75,20.875,4.5820393562316895,209500
1990-02-16,20.875,20.875,20.5,20.625,4.5271687507629395,549700
1990-02-20,20.625,20.625,20.25,20.5,4.499728202819824,496600
1990-02-21,20.375,20.5,20.25,20.25,4.4448561668396,286600
1990-02-22,20.25,20.25,19.75,19.875,4.362542152404785,1695400
1990-02-23,19.875,20.0,19.625,19.75,4.3351030349731445,769900
1990-02-26,19.5,20.125,19.5,20.125,4.417415618896484,633200
1990-02-27,20.125,20.75,20.0,20.625,4.5271687507629395,1035300
1990-02-28,20.625,21.0,20.625,20.75,4.554601192474365,413300
1990-03-01,20.875,21.0,20.625,20.75,4.554601192474365,345300
1990-03-02,20.875,20.875,20.75,20.75,4.554601192474365,252700
1990-03-05,20.75,20.75,20.625,20.625,4.5271687507629395,155400
1990-03-06,20.625,20.875,20.625,20.875,4.5820393562316895,312300
1990-03-07,20.875,20.875,20.625,20.875,4.5820393562316895,185800
1990-03-08,20.75,20.75,20.625,20.75,4.554601192474365,250800
