Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.0,2.25,2.125,2.25,1.1971399784088135,65600
1990-01-03,0.0,2.25,2.125,2.125,1.130631923675537,28000
1990-01-04,0.0,2.1875,2.125,2.15625,1.1472588777542114,126800
1990-01-05,0.0,2.1875,2.0,2.03125,1.0807514190673828,999200
1990-01-08,0.0,2.125,2.0,2.125,1.130631923675537,76400
1990-01-09,0.0,2.125,2.0625,2.125,1.130631923675537,188000
1990-01-10,0.0,2.125,2.0625,2.0625,1.097377896308899,50000
1990-01-11,0.0,2.125,2.0625,2.0625,1.097377896308899,288000
1990-01-12,0.0,2.09375,2.0,2.0,1.064124584197998,80000
1990-01-15,0.0,2.0,2.0,2.0,1.064124584197998,10000
1990-01-16,0.0,2.0625,2.0,2.0625,1.097377896308899,272000
1990-01-17,0.0,2.09375,2.0,2.03125,1.0807514190673828,91200
1990-01-18,0.0,2.0625,2.0,2.0,1.064124584197998,268000
1990-01-19,0.0,2.0625,2.0,2.0,1.064124584197998,65600
1990-01-22,0.0,2.0625,1.9375,1.96875,1.047497272491455,268000
1990-01-23,0.0,2.0,1.96875,1.96875,1.047497272491455,203200
1990-01-24,0.0,2.0,1.90625,2.0,1.064124584197998,70800
1990-01-25,0.0,2.0625,1.9375,1.9375,1.030869960784912,508400
1990-01-26,0.0,2.0,1.9375,1.9375,1.030869960784912,228400
1990-01-29,0.0,2.0625,1.875,1.9375,1.030869960784912,113200
1990-01-30,0.0,1.96875,1.875,1.875,0.9976161122322083,961200
1990-01-31,0.0,1.9375,1.78125,1.84375,0.9809895157814026,489600
1990-02-01,0.0,1.9375,1.84375,1.90625,1.0142436027526855,41600
1990-02-02,0.0,1.9375,1.84375,1.875,0.9976161122322083,82000
1990-02-05,0.0,1.90625,1.78125,1.84375,0.9809895157814026,350400
1990-02-06,0.0,1.84375,1.75,1.78125,0.9477361440658569,1996000
1990-02-07,0.0,1.875,1.75,1.8125,0.9643620848655701,628800
1990-02-08,0.0,1.875,1.8125,1.875,0.9976161122322083,214800
1990-02-09,0.0,1.875,1.8125,1.875,0.9976161122322083,55200
1990-02-12,0.0,1.875,1.8125,1.875,0.9976161122322083,21600
1990-02-13,0.0,1.90625,1.8125,1.875,0.9976161122322083,382000
1990-02-14,0.0,1.90625,1.84375,1.875,0.9976161122322083,65200
1990-02-15,0.0,1.90625,1.84375,1.84375,0.9809895157814026,548000
1990-02-16,0.0,1.875,1.8125,1.84375,0.9809895157814026,306800
1990-02-20,0.0,1.875,1.8125,1.8125,0.9643620848655701,346800
1990-02-21,0.0,1.8125,1.75,1.75,0.9311090707778931,588400
1990-02-22,0.0,1.84375,1.75,1.78125,0.9477361440658569,148400
1990-02-23,0.0,1.8125,1.71875,1.75,0.9311090707778931,160800
1990-02-26,0.0,1.8125,1.75,1.78125,0.9477361440658569,70400
1990-02-27,0.0,1.8125,1.75,1.75,0.9311090707778931,302400
1990-02-28,0.0,1.8125,1.75,1.8125,0.9643620848655701,205200
1990-03-01,0.0,1.875,1.78125,1.875,0.9976161122322083,188000
1990-03-02,0.0,1.875,1.8125,1.8125,0.9643620848655701,518400
