Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,1.84375,1.921875,1.828125,1.921875,1.3881382942199707,1260800
1990-01-03,1.90625,1.9375,1.90625,1.90625,1.3768537044525146,1176800
1990-01-04,1.90625,1.953125,1.875,1.90625,1.3768537044525146,1201600
1990-01-05,1.890625,2.015625,1.890625,2.015625,1.4558525085449219,1529600
1990-01-08,2.0,2.015625,1.953125,1.984375,1.4332810640335083,1774400
1990-01-09,1.984375,2.015625,1.921875,1.9375,1.3994241952896118,1128800
1990-01-10,1.90625,1.9375,1.875,1.921875,1.3881382942199707,1265600
1990-01-11,1.921875,1.953125,1.90625,1.921875,1.3881382942199707,552800
1990-01-12,1.890625,1.90625,1.8125,1.859375,1.3429957628250122,1166400
1990-01-15,1.84375,1.84375,1.796875,1.8125,1.3091387748718262,916000
1990-01-16,1.78125,1.796875,1.765625,1.78125,1.2865675687789917,778400
1990-01-17,1.78125,1.78125,1.75,1.75,1.2639954090118408,2027200
1990-01-18,1.75,1.78125,1.75,1.75,1.2639954090118408,657600
1990-01-19,1.75,1.75,1.65625,1.71875,1.241424560546875,980000
1990-01-22,1.734375,1.75,1.65625,1.65625,1.1962816715240479,1303200
1990-01-23,1.65625,1.671875,1.625,1.640625,1.184996247291565,1486400
1990-01-24,1.625,1.65625,1.578125,1.640625,1.184996247291565,1578400
1990-01-25,1.65625,1.75,1.609375,1.609375,1.1624255180358887,2414400
1990-01-26,1.625,1.640625,1.59375,1.640625,1.184996247291565,2024000
1990-01-29,1.65625,1.6875,1.625,1.65625,1.1962816715240479,1532800
1990-01-30,1.65625,1.671875,1.59375,1.59375,1.1511396169662476,1933600
1990-01-31,1.625,1.640625,1.5,1.546875,1.1172826290130615,4949600
1990-02-01,1.546875,1.59375,1.515625,1.578125,1.139853596687317,2752800
1990-02-02,1.578125,1.671875,1.5625,1.671875,1.2075670957565308,2186400
1990-02-05,1.671875,1.6875,1.640625,1.65625,1.1962816715240479,2348800
1990-02-06,1.65625,1.65625,1.59375,1.609375,1.1624255180358887,1080000
1990-02-07,1.625,1.640625,1.59375,1.640625,1.184996247291565,1959200
1990-02-08,1.65625,1.703125,1.65625,1.671875,1.2075670957565308,1406400
1990-02-09,1.6875,1.734375,1.6875,1.6875,1.2188533544540405,4996000
1990-02-12,1.6875,1.6875,1.578125,1.625,1.1737104654312134,2230400
1990-02-13,1.640625,1.65625,1.609375,1.65625,1.1962816715240479,920800
1990-02-14,1.640625,1.65625,1.609375,1.65625,1.1962816715240479,515200
1990-02-15,1.6875,1.734375,1.671875,1.71875,1.241424560546875,2139200
1990-02-16,1.71875,1.78125,1.703125,1.734375,1.2527097463607788,1563200
