Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,12.125,12.25,12.0625,12.125,2.224353075027466,45000
1990-01-03,12.125,12.4375,12.125,12.4375,2.281682014465332,95200
1990-01-04,12.3125,12.4375,12.3125,12.375,2.270216464996338,24000
1990-01-05,12.3125,12.3125,12.0625,12.125,2.224353075027466,99200
1990-01-08,12.0,12.0,11.8125,11.875,2.178490161895752,13000
1990-01-09,11.875,11.875,11.75,11.875,2.178490161895752,34400
1990-01-10,11.875,11.875,11.8125,11.875,2.178490161895752,92800
1990-01-11,11.8125,11.875,11.8125,11.875,2.178490161895752,7800
1990-01-12,11.8125,11.875,11.6875,11.8125,2.1670241355895996,80000
1990-01-15,11.625,11.75,11.625,11.6875,2.1440932750701904,21800
1990-01-16,11.5625,11.6875,11.5625,11.6875,2.1440932750701904,12000
1990-01-17,11.5625,11.6875,11.5625,11.6875,2.1440932750701904,10600
1990-01-18,11.75,11.75,11.5,11.625,2.13262677192688,86200
1990-01-19,11.5,11.6875,11.5,11.6875,2.1440932750701904,22000
1990-01-22,11.6875,11.6875,11.5625,11.5625,2.1211607456207275,19000
1990-01-23,11.5,11.5625,11.3125,11.5,2.1096949577331543,22400
1990-01-24,11.375,11.4375,11.375,11.4375,2.098229169845581,35000
1990-01-25,11.25,11.375,11.1875,11.375,2.127216339111328,84800
1990-01-26,11.25,11.375,11.1875,11.3125,2.1155269145965576,108000
1990-01-29,11.25,11.375,11.1875,11.375,2.127216339111328,26000
1990-01-30,11.25,11.3125,11.0625,11.25,2.103839874267578,36400
1990-01-31,11.0625,11.0625,11.0,11.0625,2.0687754154205322,32200
1990-02-01,11.0625,11.1875,11.0,11.1875,2.092151641845703,23000
1990-02-02,11.1875,11.6875,11.125,11.125,2.0804636478424072,24600
1990-02-05,11.125,11.25,11.125,11.25,2.103839874267578,11000
1990-02-06,11.25,11.3125,11.1875,11.3125,2.1155269145965576,26000
1990-02-07,11.3125,11.4375,11.1875,11.4375,2.138904333114624,26800
1990-02-08,11.4375,11.5,11.375,11.4375,2.138904333114624,23000
1990-02-09,11.3125,11.4375,11.1875,11.25,2.103839874267578,44000
1990-02-12,11.5,11.5,11.375,11.5,2.1505916118621826,85600
1990-02-13,11.5,11.5,11.25,11.375,2.127216339111328,16800
1990-02-14,11.25,11.375,11.125,11.3125,2.1155269145965576,17200
1990-02-15,11.375,11.5625,11.375,11.5625,2.162278890609741,26200
