Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,7.125,7.25,7.125,7.25,3.4157936573028564,1533600
1990-01-03,7.234375,7.265625,7.203125,7.203125,3.3937087059020996,2320800
1990-01-04,7.25,7.34375,7.21875,7.34375,3.459962844848633,2385600
1990-01-05,7.3125,7.3125,7.25,7.265625,3.42315673828125,1252800
1990-01-08,7.265625,7.265625,7.15625,7.1875,3.3863487243652344,928000
1990-01-09,7.21875,7.21875,7.046875,7.0625,3.32745361328125,676800
1990-01-10,7.0,7.09375,6.9375,7.046875,3.3200936317443848,912800
1990-01-11,7.078125,7.09375,7.03125,7.046875,3.3200936317443848,721600
1990-01-12,6.96875,7.0,6.875,6.921875,3.2612006664276123,1774400
1990-01-15,6.890625,6.90625,6.828125,6.828125,3.2170286178588867,1092800
1990-01-16,6.75,7.046875,6.75,7.015625,3.3053696155548096,1020000
1990-01-17,7.0,7.484375,7.0,7.40625,3.4894089698791504,5129600
1990-01-18,7.25,7.359375,7.1875,7.265625,3.42315673828125,3942400
1990-01-19,7.296875,7.625,7.25,7.484375,3.526216745376587,5552800
1990-01-22,7.5625,7.640625,7.25,7.25,3.4157936573028564,2828800
1990-01-23,7.3125,7.328125,6.96875,7.15625,3.3716225624084473,1755200
1990-01-24,7.15625,7.40625,6.84375,7.40625,3.4894089698791504,3720800
1990-01-25,7.3125,7.3125,7.09375,7.109375,3.349538803100586,1627200
1990-01-26,7.109375,7.25,7.0,7.125,3.3568999767303467,1158400
1990-01-29,7.15625,7.1875,6.953125,7.046875,3.3200936317443848,2553600
1990-01-30,7.03125,7.203125,7.0,7.15625,3.3716225624084473,5220000
1990-01-31,7.203125,7.21875,7.0625,7.078125,3.3348140716552734,2085600
1990-02-01,7.109375,7.109375,6.953125,7.046875,3.3200936317443848,1444000
1990-02-02,7.015625,7.15625,6.9375,6.9375,3.2685611248016357,1680000
1990-02-05,6.90625,7.046875,6.875,7.03125,3.312729835510254,1549600
1990-02-06,7.0,7.0,6.84375,6.875,3.2391154766082764,1837600
1990-02-07,6.875,6.984375,6.828125,6.90625,3.2538373470306396,2249600
1990-02-08,6.890625,6.921875,6.734375,6.734375,3.1728603839874268,1561600
1990-02-09,6.75,6.75,6.4375,6.59375,3.106605291366577,2188800
1990-02-12,6.578125,6.59375,6.484375,6.484375,3.0550734996795654,744000
1990-02-13,6.484375,6.546875,6.421875,6.546875,3.0845189094543457,837600
1990-02-14,6.53125,6.59375,6.421875,6.484375,3.0550734996795654,632800
1990-02-15,6.5625,6.625,6.4375,6.484375,3.0550734996795654,884000
1990-02-16,6.484375,6.53125,6.40625,6.453125,3.0403501987457275,1411200
1990-02-20,6.359375,6.359375,6.15625,6.15625,2.9311399459838867,2624000
1990-02-21,6.09375,6.453125,6.078125,6.359375,3.0278515815734863,3012000
1990-02-22,6.375,6.59375,6.375,6.453125,3.07249116897583,2440800
1990-02-23,6.421875,6.484375,6.296875,6.4375,3.0650503635406494,1432800
1990-02-26,6.4375,6.5,6.4375,6.484375,3.0873687267303467,2088000
1990-02-27,6.53125,6.578125,6.46875,6.46875,3.079927444458008,1022400
1990-02-28,6.46875,6.703125,6.46875,6.625,3.154322385787964,1572000
1990-03-01,6.625,6.78125,6.625,6.734375,3.20639705657959,2420000
