Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,9.9375,10.375,9.8125,10.25,4.879710674285889,187600
1990-01-03,10.5,10.6875,10.5,10.5,4.998728275299072,218600
1990-01-04,10.5,10.6875,10.4375,10.5625,5.0284833908081055,190800
1990-01-05,10.4375,10.5625,10.1875,10.1875,4.849956035614014,133600
1990-01-08,10.3125,10.5625,10.25,10.5625,5.0284833908081055,328400
1990-01-09,10.625,10.6875,10.5,10.625,5.0582356452941895,128000
1990-01-10,10.6875,10.6875,10.5,10.5625,5.0284833908081055,230200
1990-01-11,10.5,10.5,10.0625,10.125,4.820200443267822,196200
1990-01-12,10.0625,10.5,9.9375,10.25,4.879710674285889,287800
1990-01-15,10.3125,10.375,10.25,10.3125,4.909464359283447,51600
1990-01-16,10.125,10.1875,10.0625,10.0625,4.7904438972473145,113800
1990-01-17,10.1875,10.1875,9.875,10.0,4.760690689086914,114800
1990-01-18,9.75,9.8125,9.5,9.625,4.582169532775879,203200
1990-01-19,9.625,9.875,9.625,9.75,4.641676425933838,151800
1990-01-22,9.75,9.875,9.5,9.5,4.522658824920654,198200
1990-01-23,9.5,9.625,9.375,9.5,4.522658824920654,133600
1990-01-24,9.25,9.3125,9.1875,9.25,4.403640270233154,144600
1990-01-25,9.25,9.4375,9.125,9.125,4.344132423400879,198200
1990-01-26,9.125,9.25,8.9375,8.9375,4.254868984222412,242400
1990-01-29,9.0625,9.1875,8.8125,8.875,4.225113868713379,125600
1990-01-30,8.9375,8.9375,8.6875,8.6875,4.1358513832092285,197800
1990-01-31,8.8125,9.25,8.6875,9.25,4.403640270233154,137000
1990-02-01,9.25,9.3125,9.0625,9.25,4.403640270233154,117400
1990-02-02,9.0625,10.0,9.0625,9.9375,4.730940818786621,276600
1990-02-05,9.8125,10.0,9.8125,9.9375,4.730940818786621,206200
1990-02-06,10.0,10.0,9.8125,9.875,4.701182842254639,75600
1990-02-07,9.875,9.9375,9.75,9.9375,4.730940818786621,135800
1990-02-08,9.8125,9.9375,9.6875,9.6875,4.611921787261963,72600
1990-02-09,9.8125,9.8125,9.625,9.625,4.582169532775879,50800
1990-02-12,9.625,9.6875,9.3125,9.5,4.522658824920654,89200
1990-02-13,9.5625,9.5625,9.4375,9.5625,4.552415370941162,83200
1990-02-14,9.5,9.6875,9.5,9.6875,4.611921787261963,33400
1990-02-15,9.6875,9.75,9.5625,9.6875,4.611921787261963,31800
1990-02-16,9.75,10.125,9.6875,9.9375,4.730940818786621,215400
1990-02-20,9.875,9.875,9.6875,9.6875,4.611921787261963,74200
1990-02-21,9.625,9.9375,9.625,9.875,4.701182842254639,75800
1990-02-22,9.8125,9.875,9.625,9.625,4.611352920532227,73200
1990-02-23,9.5625,9.625,9.375,9.375,4.491576194763184,76800
1990-02-26,9.375,9.4375,9.25,9.375,4.491576194763184,91600
1990-02-27,9.3125,9.4375,9.0,9.1875,4.40174674987793,93000
1990-02-28,9.1875,9.3125,9.0625,9.1875,4.40174674987793,103600
1990-03-01,9.0625,9.3125,9.0625,9.3125,4.461633205413818,79800
1990-03-02,9.375,9.4375,9.1875,9.1875,4.40174674987793,180000
1990-03-05,9.1875,9.1875,8.9375,8.9375,4.28196907043457,96600
1990-03-06,9.0,9.0625,8.75,8.9375,4.28196907043457,253400
1990-03-07,9.0,9.0625,8.9375,8.9375,4.28196907043457,65200
1990-03-08,8.9375,9.0625,8.9375,9.0,4.311913967132568,239800
1990-03-09,9.0,9.0625,8.875,9.0625,4.341858863830566,150200
1990-03-12,9.0,9.125,8.8125,9.125,4.371801376342773,281800
1990-03-13,9.0,9.125,9.0,9.0,4.311913967132568,60400
1990-03-14,9.125,9.125,9.0,9.125,4.371801376342773,100200
1990-03-15,9.125,9.1875,9.0,9.1875,4.40174674987793,113000
1990-03-16,9.3125,9.375,9.1875,9.3125,4.461633205413818,320000
1990-03-19,9.1875,9.25,9.0625,9.125,4.371801376342773,193400
1990-03-20,9.125,9.125,8.875,8.9375,4.28196907043457,529800
1990-03-21,8.9375,9.0,8.875,8.9375,4.28196907043457,175000
1990-03-22,8.9375,8.9375,8.625,8.6875,4.162195205688477,271400
1990-03-23,8.625,8.875,8.5625,8.75,4.192140102386475,192400
1990-03-26,8.875,8.9375,8.75,8.75,4.192140102386475,77200
1990-03-27,8.875,8.9375,8.75,8.875,4.2520246505737305,67600
1990-03-28,8.875,9.25,8.875,9.1875,4.40174674987793,256800
1990-03-29,9.1875,9.1875,8.9375,9.0625,4.341858863830566,74600
1990-03-30,8.9375,9.0625,8.875,9.0625,4.341858863830566,75200
1990-04-02,8.875,8.9375,8.75,8.875,4.2520246505737305,151200
1990-04-03,8.9375,8.9375,8.875,8.9375,4.28196907043457,77000
1990-04-04,8.9375,8.9375,8.8125,8.8125,4.222083568572998,121600
1990-04-05,8.875,9.0,8.8125,9.0,4.311913967132568,187800
1990-04-06,9.0625,9.5,9.0,9.5,4.551465034484863,477400
