Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.0,6.8125,6.5,6.5,2.018157482147217,52600
1990-01-03,0.0,7.0,6.625,6.75,2.0957789421081543,71800
1990-01-04,0.0,7.0,6.75,6.75,2.0957789421081543,19200
1990-01-05,0.0,7.0,6.75,6.8125,2.1151838302612305,9400
1990-01-08,0.0,6.75,6.625,6.625,2.056969165802002,30400
1990-01-09,0.0,6.875,6.5,6.5,2.018157482147217,44000
1990-01-10,0.0,6.75,6.5,6.625,2.056969165802002,47200
1990-01-11,0.0,6.75,6.5,6.5,2.0335042476654053,27000
1990-01-12,0.0,6.75,6.5,6.5,2.0335042476654053,12600
1990-01-15,0.0,6.625,6.5,6.5,2.0335042476654053,11200
1990-01-16,0.0,6.625,6.5,6.5,2.0335042476654053,42600
1990-01-17,0.0,6.75,6.5,6.5,2.0335042476654053,16800
1990-01-18,0.0,6.75,6.375,6.375,1.9944007396697998,17800
1990-01-19,0.0,6.5625,6.375,6.5,2.0335042476654053,37000
1990-01-22,0.0,6.5,6.375,6.375,1.9944007396697998,6000
1990-01-23,0.0,6.5,6.375,6.5,2.0335042476654053,16400
1990-01-24,0.0,6.5,6.25,6.5,2.0335042476654053,42800
1990-01-25,0.0,6.5,6.25,6.25,1.9552931785583496,31400
1990-01-26,0.0,6.375,6.3125,6.375,1.9944007396697998,23800
1990-01-29,0.0,6.375,6.25,6.25,1.9552931785583496,14800
1990-01-30,0.0,6.375,6.25,6.375,1.9944007396697998,31000
1990-01-31,0.0,6.375,6.375,6.375,1.9944007396697998,800
1990-02-01,0.0,6.75,6.25,6.5,2.0335042476654053,34400
1990-02-02,0.0,6.75,6.75,6.75,2.111717462539673,800
1990-02-05,0.0,6.75,6.375,6.75,2.111717462539673,39000
1990-02-06,0.0,6.75,6.5,6.75,2.111717462539673,2400
1990-02-07,0.0,6.75,6.5,6.75,2.111717462539673,6000
1990-02-08,0.0,6.625,6.5,6.5,2.0335042476654053,13600
1990-02-09,0.0,6.75,6.5,6.75,2.111717462539673,13200
1990-02-12,0.0,6.625,6.5,6.5625,2.0530591011047363,5400
1990-02-13,0.0,6.75,6.5,6.5,2.0335042476654053,14400
1990-02-14,0.0,6.75,6.75,6.75,2.111717462539673,6000
1990-02-15,0.0,6.75,6.5,6.625,2.0726115703582764,11400
1990-02-16,0.0,6.75,6.625,6.625,2.0726115703582764,7000
1990-02-20,0.0,6.875,6.625,6.625,2.0726115703582764,14800
1990-02-21,0.0,6.875,6.625,6.75,2.111717462539673,23600
1990-02-22,0.0,6.75,6.625,6.6875,2.0921638011932373,7800
1990-02-23,0.0,6.875,6.5,6.875,2.150822401046753,12000
1990-02-26,0.0,6.875,6.5,6.875,2.150822401046753,7600
1990-02-27,0.0,6.875,6.625,6.875,2.150822401046753,41000
1990-02-28,0.0,6.875,6.625,6.875,2.150822401046753,16400
1990-03-01,0.0,7.0,6.75,7.0,2.189929485321045,24200
1990-03-02,0.0,7.25,6.75,7.0,2.189929485321045,47400
1990-03-05,0.0,7.25,6.875,6.875,2.150822401046753,24000
1990-03-06,0.0,7.0625,6.875,7.0625,2.209481716156006,26400
1990-03-07,0.0,7.125,6.875,6.875,2.150822401046753,5000
1990-03-08,0.0,7.125,7.0,7.0,2.189929485321045,39600
1990-03-09,0.0,7.25,6.875,6.875,2.150822401046753,2600
1990-03-12,0.0,7.25,6.875,7.0625,2.209481716156006,13200
1990-03-13,0.0,7.25,7.0,7.0625,2.209481716156006,17200
1990-03-14,0.0,7.125,6.875,6.875,2.150822401046753,2800
1990-03-15,0.0,7.25,6.875,7.25,2.268141031265259,32200
1990-03-16,0.0,7.0,6.875,7.0,2.189929485321045,5600
1990-03-19,0.0,7.25,6.875,7.25,2.268141031265259,12400
1990-03-20,0.0,7.25,6.875,6.9375,2.170375108718872,31400
1990-03-21,0.0,7.125,6.875,6.875,2.150822401046753,16400
1990-03-22,0.0,7.125,6.875,6.875,2.150822401046753,23200
1990-03-23,0.0,7.125,6.875,6.875,2.150822401046753,44400
1990-03-26,7.125,7.125,6.875,6.875,2.150822401046753,30800
1990-03-27,6.875,7.25,6.875,7.125,2.229034662246704,7400
1990-03-28,6.875,7.125,6.875,7.125,2.229034662246704,17600
1990-03-29,7.0625,7.0625,6.875,6.875,2.150822401046753,7600
1990-03-30,6.875,7.125,6.875,7.125,2.229034662246704,8400
1990-04-02,6.875,7.125,6.875,7.125,2.229034662246704,22600
1990-04-03,6.875,7.125,6.875,6.875,2.150822401046753,9200
1990-04-04,7.125,7.125,6.875,6.875,2.150822401046753,13800
1990-04-05,7.0625,7.125,6.875,7.125,2.229034662246704,38400
1990-04-06,6.875,7.125,6.8125,7.0,2.189929485321045,25200
1990-04-09,6.75,7.0,6.75,6.75,2.111717462539673,13800
1990-04-10,7.0,7.0,6.625,6.625,2.0726115703582764,16200
1990-04-11,6.625,6.625,6.625,6.625,2.0726115703582764,7800
1990-04-12,6.625,6.875,6.625,6.75,2.111717462539673,21800
1990-04-16,6.5,6.875,6.5,6.625,2.0726115703582764,22000
1990-04-17,6.75,6.75,6.375,6.375,1.9944007396697998,20200
1990-04-18,6.375,6.5625,6.375,6.375,1.9944007396697998,19000
1990-04-19,6.375,6.625,6.375,6.5,2.0335042476654053,27200
1990-04-20,6.5,6.5625,6.5,6.5,2.0335042476654053,26200
1990-04-23,6.5,6.75,6.5,6.75,2.111717462539673,7400
1990-04-24,6.75,6.75,6.75,6.75,2.111717462539673,2200
1990-04-25,6.5,6.6875,6.5,6.6875,2.0921638011932373,15400
1990-04-26,6.5,6.5,6.375,6.5,2.0335042476654053,12400
1990-04-27,6.25,6.4375,6.25,6.25,1.9552931785583496,12000
1990-04-30,6.25,6.625,6.25,6.375,1.9944007396697998,22600
1990-05-01,6.625,6.625,6.25,6.25,1.9552931785583496,16200
