Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,6.15625,6.25,6.125,6.25,3.7054264545440674,1431200
1990-01-03,6.25,6.28125,6.0,6.0625,3.594261646270752,706400
1990-01-04,6.0625,6.125,5.96875,6.09375,3.612787961959839,350000
1990-01-05,6.09375,6.21875,6.03125,6.21875,3.686896562576294,723200
1990-01-08,6.21875,6.21875,6.0,6.03125,3.5757339000701904,697600
1990-01-09,6.0625,6.09375,5.9375,5.9375,3.520153760910034,766000
1990-01-10,5.90625,5.9375,5.78125,5.90625,3.5016252994537354,616000
1990-01-11,5.9375,5.96875,5.9375,5.9375,3.520153760910034,387200
1990-01-12,5.875,5.90625,5.6875,5.6875,3.3719353675842285,421600
1990-01-15,5.625,5.71875,5.5625,5.71875,3.390462636947632,544400
1990-01-16,5.625,5.84375,5.625,5.75,3.4089910984039307,202400
1990-01-17,5.8125,5.96875,5.78125,5.8125,3.446044445037842,399200
1990-01-18,5.84375,6.0,5.75,5.90625,3.5016252994537354,1092800
1990-01-19,5.96875,5.96875,5.75,5.75,3.4089910984039307,1015600
1990-01-22,5.75,5.84375,5.5625,5.59375,3.316354274749756,366000
1990-01-23,5.59375,5.625,5.375,5.5625,3.2978289127349854,629600
1990-01-24,5.46875,5.59375,5.34375,5.53125,3.2793002128601074,314400
1990-01-25,5.625,5.65625,5.375,5.40625,3.205190658569336,1113600
1990-01-26,5.46875,5.5625,5.375,5.53125,3.2793002128601074,341600
1990-01-29,5.59375,5.59375,5.40625,5.53125,3.2793002128601074,407200
1990-01-30,5.53125,5.5625,5.25,5.28125,3.1310830116271973,503200
1990-01-31,5.34375,5.375,5.3125,5.375,3.1866636276245117,494000
1990-02-01,5.375,5.46875,5.3125,5.4375,3.2237188816070557,497200
1990-02-02,5.375,5.75,5.34375,5.65625,3.353407144546509,596400
1990-02-05,5.71875,5.8125,5.6875,5.78125,3.4275176525115967,414400
1990-02-06,5.71875,5.71875,5.5625,5.65625,3.353407144546509,411600
1990-02-07,5.59375,5.78125,5.53125,5.78125,3.4275176525115967,359200
1990-02-08,5.78125,5.9375,5.78125,5.875,3.4830992221832275,599200
1990-02-09,5.875,5.9375,5.8125,5.84375,3.464571237564087,306800
1990-02-12,5.75,5.75,5.53125,5.59375,3.316354274749756,231600
1990-02-13,5.625,5.71875,5.5,5.71875,3.390462636947632,250800
1990-02-14,5.71875,5.78125,5.6875,5.71875,3.390462636947632,412400
1990-02-15,5.71875,5.71875,5.625,5.65625,3.353407144546509,265600
1990-02-16,5.625,5.65625,5.53125,5.59375,3.316354274749756,355200
1990-02-20,5.53125,5.5625,5.375,5.4375,3.2237188816070557,578800
1990-02-21,5.34375,5.34375,5.28125,5.3125,3.149611711502075,352000
1990-02-22,5.3125,5.59375,5.3125,5.46875,3.242246150970459,757600
1990-02-23,5.40625,5.5625,5.375,5.5,3.2607734203338623,423200
1990-02-26,5.5625,5.75,5.5,5.625,3.3348817825317383,328400
1990-02-27,5.65625,5.75,5.65625,5.6875,3.3719353675842285,860400
1990-02-28,5.65625,5.78125,5.65625,5.78125,3.4275176525115967,676400
1990-03-01,5.78125,5.84375,5.71875,5.84375,3.464571237564087,827200
1990-03-02,5.90625,6.03125,5.875,5.96875,3.5386815071105957,766400
1990-03-05,5.96875,5.96875,5.875,5.96875,3.5761263370513916,440000
1990-03-06,5.96875,6.0625,5.9375,6.0625,3.632298469543457,1096400
1990-03-07,6.0625,6.15625,6.03125,6.09375,3.65101957321167,631600
1990-03-08,6.125,6.28125,6.09375,6.28125,3.7633602619171143,655200
1990-03-09,6.28125,6.28125,6.15625,6.25,3.744638442993164,502800
1990-03-12,6.25,6.28125,6.21875,6.25,3.744638442993164,732800
1990-03-13,6.21875,6.3125,6.09375,6.09375,3.65101957321167,816000
1990-03-14,6.03125,6.09375,5.9375,5.9375,3.5574028491973877,590400
1990-03-15,6.0,6.0625,5.9375,6.0,3.594851493835449,286000
1990-03-16,6.09375,6.09375,5.90625,5.9375,3.5574028491973877,666400
1990-03-19,5.9375,5.96875,5.90625,5.9375,3.5574028491973877,389200
1990-03-20,5.9375,6.09375,5.90625,6.0,3.594851493835449,419200
1990-03-21,6.0,6.0,5.8125,5.84375,3.501235246658325,630800
1990-03-22,5.78125,5.84375,5.71875,5.75,3.445066213607788,1130400
1990-03-23,5.8125,5.84375,5.75,5.84375,3.501235246658325,890000
1990-03-26,5.875,5.875,5.84375,5.875,3.519956350326538,332800
1990-03-27,5.875,5.875,5.6875,5.71875,3.4263434410095215,686800
1990-03-28,5.65625,5.71875,5.625,5.6875,3.4076168537139893,808000
1990-03-29,5.65625,5.71875,5.59375,5.65625,3.3888940811157227,278000
1990-03-30,5.625,5.65625,5.53125,5.65625,3.3888940811157227,422400
1990-04-02,5.5625,5.625,5.5,5.625,3.3701703548431396,465200
1990-04-03,5.8125,5.84375,5.75,5.84375,3.501235246658325,1053200
1990-04-04,5.875,5.96875,5.8125,5.84375,3.501235246658325,452400
1990-04-05,5.84375,5.84375,5.6875,5.78125,3.46378755569458,361600
1990-04-06,5.78125,5.875,5.75,5.75,3.445066213607788,816000
1990-04-09,5.75,5.84375,5.75,5.8125,3.4825103282928467,256000
1990-04-10,5.78125,5.96875,5.75,5.90625,3.5386810302734375,607600
1990-04-11,5.96875,6.0,5.875,5.875,3.519956350326538,382000
1990-04-12,5.9375,5.9375,5.84375,5.875,3.519956350326538,696000
1990-04-16,5.96875,6.0,5.875,5.9375,3.5574028491973877,1184000
1990-04-17,5.9375,6.0,5.875,6.0,3.594851493835449,566400
1990-04-18,6.0625,6.0625,5.9375,6.0,3.594851493835449,235600
1990-04-19,5.9375,6.0,5.90625,5.90625,3.5386810302734375,392400
1990-04-20,5.9375,5.9375,5.78125,5.78125,3.46378755569458,2562000
1990-04-23,5.75,5.78125,5.71875,5.75,3.445066213607788,278800
1990-04-24,5.78125,6.03125,5.78125,5.9375,3.5574028491973877,560800
1990-04-25,5.9375,6.0625,5.875,6.03125,3.613574504852295,732400
1990-04-26,6.09375,6.125,6.0,6.0,3.594851493835449,1319600
1990-04-27,6.0,6.0625,6.0,6.0,3.594851493835449,733200
1990-04-30,6.0,6.0625,5.96875,6.0,3.594851493835449,375200
1990-05-01,6.0625,6.125,6.0,6.0,3.594851493835449,715200
1990-05-02,6.03125,6.03125,5.90625,6.0,3.594851493835449,730000
1990-05-03,6.0,6.03125,5.9375,6.03125,3.613574504852295,240400
1990-05-04,6.03125,6.03125,5.875,5.96875,3.5761263370513916,691200
1990-05-07,6.0,6.09375,5.96875,6.0,3.594851493835449,569200
1990-05-08,6.03125,6.0625,5.96875,6.03125,3.613574504852295,754000
1990-05-09,6.0,6.0625,5.96875,6.0,3.594851493835449,826400
1990-05-10,6.09375,6.09375,5.96875,6.0625,3.632298469543457,392000
1990-05-11,6.09375,6.125,6.03125,6.09375,3.65101957321167,1449600
1990-05-14,6.0625,6.21875,6.03125,6.1875,3.7071874141693115,721600
1990-05-15,6.1875,6.1875,6.125,6.1875,3.7071874141693115,452800
1990-05-16,6.15625,6.21875,6.0625,6.15625,3.6884653568267822,455600
1990-05-17,6.15625,6.15625,6.0625,6.09375,3.65101957321167,290000
1990-05-18,6.0625,6.09375,6.0,6.09375,3.65101957321167,466000
1990-05-21,6.0,6.0625,5.9375,5.96875,3.5761263370513916,318400
1990-05-22,5.9375,5.96875,5.8125,5.90625,3.5386810302734375,693600
1990-05-23,5.90625,6.0,5.875,6.0,3.594851493835449,800800
1990-05-24,6.03125,6.03125,5.90625,5.96875,3.5761263370513916,959200
1990-05-25,5.90625,6.0,5.90625,5.96875,3.5761263370513916,381200
1990-05-29,5.9375,6.03125,5.90625,6.03125,3.613574504852295,488000
1990-05-30,6.03125,6.09375,6.0,6.03125,3.613574504852295,460000
1990-05-31,6.03125,6.125,6.03125,6.125,3.6697418689727783,701200
1990-06-01,6.125,6.125,6.0625,6.125,3.6697418689727783,328000
1990-06-04,6.125,6.15625,6.03125,6.03125,3.613574504852295,733600
1990-06-05,6.0,6.125,6.0,6.09375,3.65101957321167,481600
1990-06-06,6.09375,6.125,6.03125,6.09375,3.65101957321167,383200
1990-06-07,6.03125,6.0625,6.0,6.0625,3.632298469543457,449200
1990-06-08,6.0625,6.0625,6.0,6.03125,3.613574504852295,426400
1990-06-11,5.9375,6.0,5.90625,6.0,3.632492780685425,460800
1990-06-12,6.03125,6.09375,6.0,6.0625,3.6703333854675293,436800
1990-06-13,6.03125,6.0625,6.0,6.03125,3.65141224861145,350800
1990-06-14,5.96875,6.03125,5.96875,6.0,3.632492780685425,236400
1990-06-15,5.90625,5.96875,5.875,5.96875,3.6135740280151367,572800
1990-06-18,5.96875,5.96875,5.875,5.875,3.5568151473999023,173600
1990-06-19,5.90625,6.0625,5.90625,6.03125,3.65141224861145,709200
1990-06-20,6.09375,6.15625,6.0,6.03125,3.65141224861145,482000
1990-06-21,6.0625,6.09375,6.0,6.0625,3.6703333854675293,567200
1990-06-22,6.09375,6.09375,5.875,6.0,3.632492780685425,1123600
1990-06-25,5.96875,6.0,5.90625,5.90625,3.575735092163086,965200
1990-06-26,5.96875,6.0,5.9375,5.9375,3.594653844833374,237200
1990-06-27,5.9375,5.96875,5.90625,5.9375,3.594653844833374,275600
1990-06-28,5.96875,5.96875,5.90625,5.90625,3.575735092163086,1104000
1990-06-29,5.90625,5.9375,5.90625,5.9375,3.594653844833374,405200
1990-07-02,5.9375,5.9375,5.90625,5.90625,3.575735092163086,476800
1990-07-03,5.90625,5.9375,5.875,5.90625,3.575735092163086,342400
1990-07-05,5.90625,5.9375,5.84375,5.875,3.5568151473999023,496800
1990-07-06,5.875,5.9375,5.875,5.9375,3.594653844833374,208800
1990-07-09,5.9375,5.96875,5.875,5.96875,3.6135740280151367,347200
1990-07-10,5.9375,5.9375,5.875,5.90625,3.575735092163086,710800
1990-07-11,5.90625,6.0625,5.90625,6.0625,3.6703333854675293,1030000
1990-07-12,6.0625,6.0625,5.96875,6.0625,3.6703333854675293,546000
