Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.0,9.0625,8.9375,9.0,1.3295376300811768,28400
1990-01-03,0.0,9.0625,8.9375,8.9375,1.320303201675415,166600
1990-01-04,0.0,9.125,8.9375,9.125,1.348002552986145,178200
1990-01-05,0.0,9.125,8.9375,8.9375,1.320303201675415,128600
1990-01-08,0.0,9.0,8.8125,8.9375,1.3436048030853271,26200
1990-01-09,0.0,8.9375,8.8125,8.8125,1.3248131275177002,77000
1990-01-10,0.0,8.9375,8.8125,8.8125,1.3248131275177002,7400
1990-01-11,0.0,8.9375,8.75,8.75,1.3154183626174927,50600
1990-01-12,0.0,8.8125,8.625,8.75,1.3154183626174927,9000
1990-01-15,0.0,8.8125,8.625,8.6875,1.3060222864151,10200
1990-01-16,0.0,8.75,8.5625,8.625,1.296626329421997,20000
1990-01-17,0.0,8.8125,8.625,8.75,1.3154183626174927,54400
1990-01-18,0.0,8.8125,8.625,8.625,1.296626329421997,20000
1990-01-19,0.0,8.75,8.625,8.625,1.296626329421997,6800
1990-01-22,0.0,8.75,8.5625,8.5625,1.2872307300567627,25000
1990-01-23,0.0,8.75,8.5625,8.625,1.296626329421997,24200
1990-01-24,0.0,8.5625,8.375,8.5625,1.2872307300567627,21400
1990-01-25,0.0,8.5,8.4375,8.4375,1.2684389352798462,5000
1990-01-26,0.0,8.5,8.4375,8.5,1.2778346538543701,31000
1990-01-29,0.0,8.5625,8.4375,8.4375,1.2684389352798462,54600
1990-01-30,0.0,8.625,8.4375,8.5625,1.2872307300567627,81000
1990-01-31,0.0,8.625,8.5625,8.5625,1.2872307300567627,10800
1990-02-01,0.0,8.6875,8.5625,8.5625,1.2872307300567627,7400
1990-02-02,0.0,8.6875,8.5,8.5,1.2778346538543701,24400
1990-02-05,0.0,8.625,8.375,8.375,1.2590433359146118,30400
1990-02-06,0.0,8.5625,8.375,8.5,1.2778346538543701,3400
1990-02-07,0.0,8.5,8.375,8.4375,1.2684389352798462,6600
1990-02-08,0.0,8.5,8.3125,8.3125,1.2496470212936401,54200
1990-02-09,0.0,8.4375,8.25,8.4375,1.2684389352798462,15400
1990-02-12,0.0,8.375,8.125,8.125,1.2214598655700684,17400
1990-02-13,0.0,8.3125,8.125,8.1875,1.230855107307434,22400
1990-02-14,0.0,8.3125,8.1875,8.3125,1.2496470212936401,10600
1990-02-15,0.0,8.375,8.1875,8.1875,1.230855107307434,35200
1990-02-16,0.0,8.375,8.1875,8.3125,1.2496470212936401,20000
1990-02-20,0.0,8.3125,8.1875,8.3125,1.2496470212936401,10600
1990-02-21,0.0,8.25,8.125,8.125,1.2214598655700684,42200
1990-02-22,0.0,8.125,8.125,8.125,1.2214598655700684,2400
1990-02-23,0.0,8.25,8.125,8.25,1.240250825881958,10800
1990-02-26,0.0,8.25,8.125,8.25,1.240250825881958,19400
1990-02-27,0.0,8.25,8.125,8.25,1.240250825881958,14400
1990-02-28,0.0,8.25,8.125,8.25,1.240250825881958,21800
1990-03-01,0.0,8.25,8.125,8.125,1.2214598655700684,14200
1990-03-02,0.0,8.25,8.125,8.25,1.240250825881958,13000
1990-03-05,0.0,8.25,8.125,8.25,1.240250825881958,12000
1990-03-06,0.0,8.1875,8.0625,8.0625,1.2120636701583862,20600
1990-03-07,8.1875,8.1875,8.0,8.125,1.2214598655700684,7600
1990-03-08,8.0,8.1875,8.0,8.1875,1.230855107307434,30200
1990-03-09,8.1875,8.1875,8.0,8.0,1.2026680707931519,26600
1990-03-12,8.0,8.1875,8.0,8.0,1.2026680707931519,99400
1990-03-13,8.125,8.125,8.0,8.0,1.2026680707931519,27000
1990-03-14,8.125,8.125,8.0,8.125,1.2214598655700684,18800
1990-03-15,8.125,8.125,8.0,8.0,1.2026680707931519,92600
1990-03-16,7.9375,8.0625,7.8125,7.8125,1.1744804382324219,22600
1990-03-19,7.8125,8.0625,7.8125,8.0,1.2026680707931519,16800
1990-03-20,8.0,8.0,7.875,8.0,1.2026680707931519,20800
1990-03-21,8.0,8.0,7.9375,8.0,1.2026680707931519,7600
1990-03-22,8.0,8.0625,7.9375,7.9375,1.1932719945907593,43200
1990-03-23,8.0625,8.0625,7.9375,8.0625,1.2120636701583862,51600
1990-03-26,8.0625,8.125,7.9375,8.125,1.2214598655700684,42800
1990-03-27,8.0,8.125,8.0,8.125,1.2214598655700684,4400
1990-03-28,8.125,8.125,8.0,8.125,1.2214598655700684,5200
1990-03-29,8.0,8.0625,8.0,8.0625,1.2120636701583862,6400
