Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6.811723232269287,6212400
1995-06-19,7.5625,7.625,7.0625,7.1875,6.527902603149414,1528200
1995-06-20,7.25,7.3125,7.1875,7.1875,6.527902603149414,863000
1995-06-21,7.25,7.25,7.0,7.0625,6.414376258850098,629000
1995-06-22,7.0625,7.5625,7.0,7.3125,6.641429901123047,546200
1995-06-23,7.375,7.4375,7.25,7.3125,6.641429901123047,365000
1995-06-26,7.3125,7.375,7.0,7.0625,6.414376258850098,515400
1995-06-27,7.125,7.125,7.0,7.0,6.357607841491699,270800
1995-06-28,7.0625,7.0625,7.0,7.0,6.357607841491699,500400
1995-06-29,7.0,7.125,7.0,7.0,6.357607841491699,309200
1995-06-30,7.0625,7.1875,7.0625,7.125,6.471137523651123,95000
1995-07-03,7.0625,7.125,7.0625,7.0625,6.414376258850098,9200
1995-07-05,7.125,7.125,7.0625,7.0625,6.414376258850098,75600
1995-07-06,7.0625,7.125,7.0625,7.0625,6.414376258850098,81400
1995-07-07,7.0625,7.625,7.0625,7.5625,6.868488788604736,475000
1995-07-10,7.5,7.75,7.5,7.75,7.038780212402344,241400
1995-07-11,7.625,8.5625,7.625,8.5,7.719952583312988,538600
1995-07-12,8.5,9.0625,8.375,9.0,8.174073219299316,496200
1995-07-13,9.0,9.0,8.8125,8.9375,8.117310523986816,384000
1995-07-14,8.9375,8.9375,8.75,8.9375,8.117310523986816,102200
1995-07-17,9.0625,9.5,9.0625,9.4375,8.571420669555664,480200
1995-07-18,9.4375,9.4375,9.0,9.0625,8.2308349609375,359200
1995-07-19,9.0,9.0,8.8125,8.875,8.060539245605469,101600
1995-07-20,8.75,8.75,8.4375,8.6875,7.8902435302734375,119600
1995-07-21,8.75,8.75,8.6875,8.6875,7.8902435302734375,13000
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.7767205238342285,112000
1995-07-25,8.5625,8.8125,8.5625,8.75,7.9470133781433105,201000
1995-07-26,8.875,9.1875,8.875,9.125,8.287599563598633,287800
1995-07-27,9.1875,9.375,9.1875,9.3125,8.457890510559082,101600
1995-07-28,9.375,9.4375,9.3125,9.3125,8.457890510559082,100400
1995-07-31,9.375,9.375,9.0625,9.25,8.401122093200684,60800
1995-08-01,9.1875,9.1875,9.0,9.0625,8.2308349609375,57600
1995-08-02,9.0,9.0,8.875,8.875,8.060539245605469,41000
1995-08-03,8.8125,8.8125,8.75,8.75,7.9470133781433105,12600
1995-08-04,8.625,8.6875,8.5625,8.625,7.8334832191467285,9000
1995-08-07,8.5625,8.75,8.5625,8.6875,7.8902435302734375,12200
1995-08-08,8.625,8.6875,8.5625,8.5625,7.7767205238342285,3200
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.436131954193115,24000
